Mortgage Type,<= 2.5 ,3,3.5,4,4.5,5,> 5.0,Measure,Agency,Date
SINGLE FAMILY 15Y,97.9,99.2,100.1,102.8,*,*,*,3RD QUARTILE PRICE,FHLMC,01/07/2019
SINGLE FAMILY 15Y,98.1,99.9,100.4,102.8,*,*,*,4TH QUARTILE PRICE,FHLMC,01/07/2019
SINGLE FAMILY 15Y,98.4,100.1,101.1,103,101.9,*,96.3,AVG. PRICE TOP 5 TRADES,FHLMC,01/07/2019
SINGLE FAMILY 15Y,1.2,0.9,0.6,0.8,1.4,*,5,STANDARD DEVIATION,FHLMC,01/07/2019
SINGLE FAMILY 15Y,17205.6,32004.9,40005.4,32416.5,8443.1,*,33,VOLUME OF TRADES (000'S),FHLMC,01/07/2019
SINGLE FAMILY 15Y,12,25,25,28,6,*,5,NUMBER OF TRADES,FHLMC,01/07/2019
SINGLE FAMILY 15Y,*,*,101.7,102.8,0,0,*,AVERAGE PRICE,GNMA,01/07/2019
SINGLE FAMILY 15Y,*,*,101.8,103,0,0,*,WEIGHTED AVG. PRICE,GNMA,01/07/2019
SINGLE FAMILY 15Y,*,*,101.7,102.5,0,0,*,AVG. PRICE BOTTOM 5 TRADES,GNMA,01/07/2019
SINGLE FAMILY 15Y,*,*,*,102.9,0,0,*,2ND QUARTILE PRICE,GNMA,01/07/2019
SINGLE FAMILY 15Y,*,*,*,103.1,0,0,*,3RD QUARTILE PRICE,GNMA,01/07/2019
SINGLE FAMILY 15Y,*,*,*,103.2,0,0,*,4TH QUARTILE PRICE,GNMA,01/07/2019
SINGLE FAMILY 15Y,*,*,101.7,103.2,0,0,*,AVG. PRICE TOP 5 TRADES,GNMA,01/07/2019
SINGLE FAMILY 15Y,*,*,0.3,0.6,0,0,*,STANDARD DEVIATION,GNMA,01/07/2019
SINGLE FAMILY 15Y,*,*,67360.5,31300.4,0,0,*,VOLUME OF TRADES (000'S),GNMA,01/07/2019
SINGLE FAMILY 15Y,*,*,9,10,0,0,*,NUMBER OF TRADES,GNMA,01/07/2019
SINGLE FAMILY 30Y,*,97.6,99.6,101.8,103.5,104.5,102.7,AVERAGE PRICE,FNMA,01/07/2019
SINGLE FAMILY 30Y,*,98.2,100.2,102.1,103.8,105.8,106.5,WEIGHTED AVG. PRICE,FNMA,01/07/2019
SINGLE FAMILY 30Y,*,94.6,98.2,100.1,100.9,99.6,92.5,AVG. PRICE BOTTOM 5 TRADES,FNMA,01/07/2019
