Agency,Measure,<=2.5,3,3.5,4,4.5,5,>5.0,SettlementMonth,AssetClassType,AssetClassSubType,Date,SettlementDateChart
FHLMC,AVERAGE PRICE,0,0.0,0,0,0.0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 3
FHLMC,WEIGHTED AVG. PRICE,0,0.0,0,0,0.0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 3
FHLMC,AVG. PRICE BOTTOM 5 TRADES,0,0.0,0,0,0.0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 3
FHLMC,2ND QUARTILE PRICE,0,0.0,0,0,0.0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 3
FHLMC,3RD QUARTILE PRICE,0,0.0,0,0,0.0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 3
FHLMC,4TH QUARTILE PRICE,0,0.0,0,0,0.0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 3
FHLMC,AVG. PRICE TOP 5 TRADES,0,0.0,0,0,0.0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 3
FHLMC,STANDARD DEVIATION,0,0.0,0,0,0.0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 3
FHLMC,VOLUME OF TRADES (000'S),0,0.0,0,0,0.0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 3
FHLMC,NUMBER OF TRADES,0,0.0,0,0,0.0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 3
GNMA,AVERAGE PRICE,0,0.0,0,0,0.0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 3
GNMA,WEIGHTED AVG. PRICE,0,0.0,0,0,0.0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 3
GNMA,AVG. PRICE BOTTOM 5 TRADES,0,0.0,0,0,0.0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 3
GNMA,2ND QUARTILE PRICE,0,0.0,0,0,0.0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 3
GNMA,3RD QUARTILE PRICE,0,0.0,0,0,0.0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 3
GNMA,4TH QUARTILE PRICE,0,0.0,0,0,0.0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 3
GNMA,AVG. PRICE TOP 5 TRADES,0,0.0,0,0,0.0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 3
GNMA,STANDARD DEVIATION,0,0.0,0,0,0.0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 3
GNMA,VOLUME OF TRADES (000'S),0,0.0,0,0,0.0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 3
GNMA,NUMBER OF TRADES,0,0.0,0,0,0.0,0,0,October,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 3
FNMA/UMBS,AVERAGE PRICE,99,100.7,102.2,103.4,104.5,106.2,107.7,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190701,Current Month
FNMA/UMBS,WEIGHTED AVG. PRICE,99,100.7,102.2,103.4,104.5,105.9,108.6,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190701,Current Month
FNMA/UMBS,AVG. PRICE BOTTOM 5 TRADES,98.8,100.6,102.1,103.3,104.5,105.7,106.7,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190701,Current Month
FNMA/UMBS,2ND QUARTILE PRICE,99,100.7,102.1,103.3,104.5,105.7,106.7,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190701,Current Month
FNMA/UMBS,3RD QUARTILE PRICE,99,100.7,102.2,103.3,104.5,105.7,106.8,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190701,Current Month
FNMA/UMBS,4TH QUARTILE PRICE,99,100.8,102.2,103.4,104.5,105.7,109.6,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190701,Current Month
FNMA/UMBS,AVG. PRICE TOP 5 TRADES,99,101.5,104.2,106.9,108.9,110.6,108.6,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190701,Current Month
FNMA/UMBS,STANDARD DEVIATION,0.1,0.1,0.2,0.3,0.4,1.4,1.6,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 30Y,20190701,Current Month
