Mortgage Type,<= 2.5 ,3,3.5,4,4.5,5,> 5.0,Measure,Agency,Date
SINGLE FAMILY 30Y,0,100.1,101.4,102.6,104.5,104.2,100,2ND QUARTILE PRICE,FHLMC,20190604
SINGLE FAMILY 30Y,0,100.5,102,103.3,104.6,105.6,103,3RD QUARTILE PRICE,FHLMC,20190604
SINGLE FAMILY 30Y,0,101,102.6,104.1,106.3,108.2,105.2,4TH QUARTILE PRICE,FHLMC,20190604
SINGLE FAMILY 30Y,0,101.5,103.7,106.2,108,107.2,109.4,AVG. PRICE TOP 5 TRADES,FHLMC,20190604
SINGLE FAMILY 30Y,0,0.6,0.9,1.3,1.9,3.1,3.4,STANDARD DEVIATION,FHLMC,20190604
SINGLE FAMILY 30Y,0,569651,419908.4,1257052,102866,9743.9,1283.1,VOLUME OF TRADES (000'S),FHLMC,20190604
SINGLE FAMILY 30Y,0,81,104,116,61,22,47,NUMBER OF TRADES,FHLMC,20190604
SINGLE FAMILY 30Y,*,101.6,102.6,103.7,104.7,105,102.9,AVERAGE PRICE,GNMA,20190604
SINGLE FAMILY 30Y,*,101.9,103.1,104,105,104.8,108.3,WEIGHTED AVG. PRICE,GNMA,20190604
SINGLE FAMILY 30Y,*,100.2,100,100.6,102.3,102.4,69.9,AVG. PRICE BOTTOM 5 TRADES,GNMA,20190604
SINGLE FAMILY 30Y,*,101.6,102.9,103.6,103.8,104.5,100.9,2ND QUARTILE PRICE,GNMA,20190604
SINGLE FAMILY 30Y,*,101.6,103,103.9,104.7,104.7,105.3,3RD QUARTILE PRICE,GNMA,20190604
SINGLE FAMILY 30Y,*,101.7,103,104.1,105.3,105.4,107.5,4TH QUARTILE PRICE,GNMA,20190604
SINGLE FAMILY 30Y,*,102.3,103.6,105.5,108.2,108.9,112,AVG. PRICE TOP 5 TRADES,GNMA,20190604
SINGLE FAMILY 30Y,*,0.6,1,1.3,1.5,1.7,8.8,STANDARD DEVIATION,GNMA,20190604
SINGLE FAMILY 30Y,*,384419.6,3760312.5,1531273,347602.4,1838309.5,31500.6,VOLUME OF TRADES (000'S),GNMA,20190604
SINGLE FAMILY 30Y,*,37,95,83,74,53,324,NUMBER OF TRADES,GNMA,20190604
SINGLE FAMILY 15Y,99.5,101.5,102.3,102.7,102,*,96.5,AVERAGE PRICE,UMBS,20190605
SINGLE FAMILY 15Y,99.6,101.8,103,104.6,104.6,*,101.1,WEIGHTED AVG. PRICE,UMBS,20190605
SINGLE FAMILY 15Y,98.5,100,100.9,101.9,102,*,96.5,AVG. PRICE BOTTOM 5 TRADES,UMBS,20190605
SINGLE FAMILY 15Y,98.5,101.2,101.4,102.4,*,*,*,2ND QUARTILE PRICE,UMBS,20190605
SINGLE FAMILY 15Y,99.8,101.8,102.8,103.4,*,*,*,3RD QUARTILE PRICE,UMBS,20190605
SINGLE FAMILY 15Y,100.5,101.9,103,103.5,*,*,*,4TH QUARTILE PRICE,UMBS,20190605
SINGLE FAMILY 15Y,100.5,102.1,103.4,104.2,102,*,96.5,AVG. PRICE TOP 5 TRADES,UMBS,20190605
SINGLE FAMILY 15Y,0.9,0.6,1,1.4,2.3,*,7.2,STANDARD DEVIATION,UMBS,20190605
SINGLE FAMILY 15Y,95738.9,1138640.9,288861.8,13896.9,482.3,*,27.6,VOLUME OF TRADES (000'S),UMBS,20190605
SINGLE FAMILY 15Y,28,56,100,30,5,*,11,NUMBER OF TRADES,UMBS,20190605
SINGLE FAMILY 15Y,99.6,101.8,103.4,107.2,0,0,0,AVERAGE PRICE,FNMA,20190605
SINGLE FAMILY 15Y,99.6,101.2,103.6,107.4,0,0,0,WEIGHTED AVG. PRICE,FNMA,20190605
SINGLE FAMILY 15Y,99,100.7,102.6,106.5,0,0,0,AVG. PRICE BOTTOM 5 TRADES,FNMA,20190605
SINGLE FAMILY 15Y,99.5,101.6,103,106.7,0,0,0,2ND QUARTILE PRICE,FNMA,20190605
SINGLE FAMILY 15Y,99.6,102.2,103.5,107.4,0,0,0,3RD QUARTILE PRICE,FNMA,20190605
SINGLE FAMILY 15Y,100,102.5,104.1,107.7,0,0,0,4TH QUARTILE PRICE,FNMA,20190605
SINGLE FAMILY 15Y,100.1,102.4,104.4,108,0,0,0,AVG. PRICE TOP 5 TRADES,FNMA,20190605
SINGLE FAMILY 15Y,0.4,0.8,0.9,0.7,0,0,0,STANDARD DEVIATION,FNMA,20190605
SINGLE FAMILY 15Y,61846.2,179745.9,119158.3,160567.2,0,0,0,VOLUME OF TRADES (000'S),FNMA,20190605
SINGLE FAMILY 15Y,23,19,13,15,0,0,0,NUMBER OF TRADES,FNMA,20190605
SINGLE FAMILY 15Y,100.1,101.6,102.5,103.8,103.2,99.6,101.2,AVERAGE PRICE,FHLMC,20190605
SINGLE FAMILY 15Y,99.4,101.9,103.1,103.5,103.6,101.2,104.1,WEIGHTED AVG. PRICE,FHLMC,20190605
SINGLE FAMILY 15Y,99.9,101.4,101.3,103.8,103.2,99.6,101.2,AVG. PRICE BOTTOM 5 TRADES,FHLMC,20190605
SINGLE FAMILY 15Y,100,101.7,102.2,*,*,*,*,2ND QUARTILE PRICE,FHLMC,20190605
SINGLE FAMILY 15Y,100.1,101.8,103,*,*,*,*,3RD QUARTILE PRICE,FHLMC,20190605
SINGLE FAMILY 15Y,100.7,101.8,103.1,*,*,*,*,4TH QUARTILE PRICE,FHLMC,20190605
SINGLE FAMILY 15Y,100.3,101.9,103.5,103.8,103.2,99.6,101.2,AVG. PRICE TOP 5 TRADES,FHLMC,20190605
SINGLE FAMILY 15Y,0.5,0.4,1.2,0.5,0.7,1.2,1.6,STANDARD DEVIATION,FHLMC,20190605
SINGLE FAMILY 15Y,6194,15256.6,135906,20698.1,1320.7,291.6,2944.1,VOLUME OF TRADES (000'S),FHLMC,20190605
SINGLE FAMILY 15Y,19,13,32,5,5,7,7,NUMBER OF TRADES,FHLMC,20190605
SINGLE FAMILY 15Y,*,102,103,102,103.3,*,107.1,AVERAGE PRICE,GNMA,20190605
SINGLE FAMILY 15Y,*,102,103.1,104.1,104.2,*,109.2,WEIGHTED AVG. PRICE,GNMA,20190605
SINGLE FAMILY 15Y,*,102,102.9,102,103.3,*,103.3,AVG. PRICE BOTTOM 5 TRADES,GNMA,20190605
SINGLE FAMILY 15Y,*,*,103.1,*,*,*,106,2ND QUARTILE PRICE,GNMA,20190605
SINGLE FAMILY 15Y,*,*,103.2,*,*,*,107.7,3RD QUARTILE PRICE,GNMA,20190605
SINGLE FAMILY 15Y,*,*,103.2,*,*,*,110.9,4TH QUARTILE PRICE,GNMA,20190605
SINGLE FAMILY 15Y,*,102,103.1,102,103.3,*,110.3,AVG. PRICE TOP 5 TRADES,GNMA,20190605
SINGLE FAMILY 15Y,*,0.2,0.4,2.1,0.8,*,3.8,STANDARD DEVIATION,GNMA,20190605
SINGLE FAMILY 15Y,*,4677.5,21302,550.2,1000.2,*,1072.7,VOLUME OF TRADES (000'S),GNMA,20190605
SINGLE FAMILY 15Y,*,5,7,7,6,*,15,NUMBER OF TRADES,GNMA,20190605
SINGLE FAMILY 30Y,98.9,100.7,102.4,103.8,104.7,104.3,103.4,AVERAGE PRICE,UMBS,20190605
SINGLE FAMILY 30Y,99.3,100.8,102.2,103.5,105.9,106,110.1,WEIGHTED AVG. PRICE,UMBS,20190605
SINGLE FAMILY 30Y,98.9,98.9,101.4,101.6,100.9,96.6,84.5,AVG. PRICE BOTTOM 5 TRADES,UMBS,20190605
SINGLE FAMILY 30Y,*,100.3,101.8,103.1,104.1,104.6,98,2ND QUARTILE PRICE,UMBS,20190605
SINGLE FAMILY 30Y,*,100.9,102.4,103.3,104.5,105.4,106,3RD QUARTILE PRICE,UMBS,20190605
SINGLE FAMILY 30Y,*,101.3,102.7,104.9,105.2,106.2,110.1,4TH QUARTILE PRICE,UMBS,20190605
SINGLE FAMILY 30Y,98.9,101.4,103.7,106.3,108.5,108.4,114.4,AVG. PRICE TOP 5 TRADES,UMBS,20190605
SINGLE FAMILY 30Y,0.7,0.7,0.6,1.1,1.7,3.5,8.2,STANDARD DEVIATION,UMBS,20190605
SINGLE FAMILY 30Y,8443.5,878773.4,2260952.8,2906725.6,694066.7,110547.2,23506.3,VOLUME OF TRADES (000'S),UMBS,20190605
SINGLE FAMILY 30Y,7,111,162,219,205,77,132,NUMBER OF TRADES,UMBS,20190605
SINGLE FAMILY 30Y,0,100.4,102.5,104.6,105.6,106.5,0,AVERAGE PRICE,FNMA,20190605
SINGLE FAMILY 30Y,0,100.6,102.5,104,105.8,106.5,0,WEIGHTED AVG. PRICE,FNMA,20190605
SINGLE FAMILY 30Y,0,99.5,101.3,103.6,104.8,105.5,0,AVG. PRICE BOTTOM 5 TRADES,FNMA,20190605
SINGLE FAMILY 30Y,0,100,102,103.8,105.9,106.3,0,2ND QUARTILE PRICE,FNMA,20190605
SINGLE FAMILY 30Y,0,100.4,102.8,104.3,106.8,106.5,0,3RD QUARTILE PRICE,FNMA,20190605
SINGLE FAMILY 30Y,0,100.9,103,105.8,107.3,108.4,0,4TH QUARTILE PRICE,FNMA,20190605
SINGLE FAMILY 30Y,0,101.3,103.6,105.9,107.1,107.4,0,AVG. PRICE TOP 5 TRADES,FNMA,20190605
SINGLE FAMILY 30Y,0,0.6,0.7,1,2,1.7,0,STANDARD DEVIATION,FNMA,20190605
SINGLE FAMILY 30Y,0,250490.1,271863,184354.5,107170.2,33298.3,0,VOLUME OF TRADES (000'S),FNMA,20190605
SINGLE FAMILY 30Y,0,26,39,16,10,9,0,NUMBER OF TRADES,FNMA,20190605
SINGLE FAMILY 30Y,99.4,100.2,102,103.3,105.4,106.3,105,AVERAGE PRICE,FHLMC,20190605
